DateTime;<TICKER>;<PER>;Open;High;Low;Close;Volume
2023-04-14 12:00:00;SBER;60;218.96;219.46;218.58;219.19;2064450
2023-04-14 13:00:00;SBER;60;219.2;219.27;218.8;219.23;1290360
2023-04-14 14:00:00;SBER;60;219.24;219.75;219.11;219.65;1917480
2023-04-14 15:00:00;SBER;60;219.65;220.77;219.59;219.98;5692230
2023-04-14 16:00:00;SBER;60;219.97;222.0;219.97;221.42;7772260
2023-04-14 17:00:00;SBER;60;221.41;221.49;220.7;221.32;3495850
2023-04-14 18:00:00;SBER;60;221.32;221.7;220.85;221.7;2026480
2023-04-14 19:00:00;SBER;60;221.28;222.09;221.28;221.88;1912620
2023-04-14 20:00:00;SBER;60;221.86;222.5;221.74;222.25;3143180
2023-04-14 21:00:00;SBER;60;222.21;222.31;222.05;222.31;1079270
2023-04-14 22:00:00;SBER;60;222.3;222.4;221.9;221.98;1431540
2023-04-14 23:00:00;SBER;60;221.95;222.1;221.6;221.87;1892950
2023-04-17 10:00:00;SBER;60;222.97;224.94;222.91;224.79;17701890
2023-04-17 11:00:00;SBER;60;224.8;225.38;224.43;224.77;9840010
2023-04-17 12:00:00;SBER;60;224.77;224.83;223.56;224.45;7926880
2023-04-17 13:00:00;SBER;60;224.45;224.69;223.8;224.34;2410980
2023-04-17 14:00:00;SBER;60;224.3;225.18;223.99;225.07;4911380
2023-04-17 15:00:00;SBER;60;225.07;225.66;224.94;225.21;5162550
2023-04-17 16:00:00;SBER;60;225.22;225.88;225.1;225.19;5055770
2023-04-17 17:00:00;SBER;60;225.2;226.3;224.87;226.1;5033810
2023-04-17 18:00:00;SBER;60;226.1;226.87;226.1;226.63;5829110
2023-04-17 19:00:00;SBER;60;226.51;228.2;226.51;227.65;6903050
2023-04-17 20:00:00;SBER;60;227.69;228.1;227.5;227.7;2891480
2023-04-17 21:00:00;SBER;60;227.73;227.95;227.43;227.84;1441240
2023-04-17 22:00:00;SBER;60;227.84;228.0;227.77;227.9;1047850
2023-04-17 23:00:00;SBER;60;227.91;228.2;227.51;228.1;2406510
2023-04-18 10:00:00;SBER;60;227.89;229.28;227.05;229.11;17380980
2023-04-18 11:00:00;SBER;60;229.16;229.84;228.9;229.3;10951650
2023-04-18 12:00:00;SBER;60;229.3;229.48;227.71;227.83;10968200
2023-04-18 13:00:00;SBER;60;227.83;229.0;227.5;228.32;6088110
2023-04-18 14:00:00;SBER;60;228.3;229.23;228.01;228.97;5771030
2023-04-18 15:00:00;SBER;60;228.97;229.05;228.62;228.93;3662980
2023-04-18 16:00:00;SBER;60;228.93;230.81;228.89;230.76;16159230
2023-04-18 17:00:00;SBER;60;230.77;231.33;230.3;231.3;7415650
2023-04-18 18:00:00;SBER;60;231.29;231.8;231.04;231.39;6815210
2023-04-18 19:00:00;SBER;60;231.38;232.44;230.91;232.35;4237950
2023-04-18 20:00:00;SBER;60;232.37;232.39;231.9;231.93;2737060
2023-04-18 21:00:00;SBER;60;231.93;232.19;231.81;232.16;1197060
2023-04-18 22:00:00;SBER;60;232.18;232.36;231.97;232.3;1566360
2023-04-18 23:00:00;SBER;60;232.3;232.76;232.21;232.66;2508510
2023-04-19 10:00:00;SBER;60;232.67;234.3;231.1;234.12;20619380
2023-04-19 11:00:00;SBER;60;234.13;234.81;233.81;233.89;11047990
2023-04-19 12:00:00;SBER;60;233.89;234.63;233.28;234.55;5858420
2023-04-19 13:00:00;SBER;60;234.51;235.0;233.8;234.86;7252050
2023-04-19 14:00:00;SBER;60;234.86;237.37;234.62;236.8;14795240
2023-04-19 15:00:00;SBER;60;236.8;236.8;234.86;235.24;11159040
2023-04-19 16:00:00;SBER;60;235.26;235.95;231.42;233.36;19942600
2023-04-19 17:00:00;SBER;60;233.33;235.54;232.0;234.88;11651320
2023-04-19 18:00:00;SBER;60;234.87;235.49;233.17;233.8;3968340
